Sl. No.,States,Category,"2023-24 (April,2023 till March,2024) - Total Receipt","2023-24 (April,2023 till March,2024) - Total Consumption","2024-25 (April,2024 till June,2024) - Total Receipt","2024-25 (April,2024 till June,2024) - Total Consumption"
1,Haryana,Domestic Coal Based (DCB) Plants,20.5,19.3,4.9,5.5
2,Punjab,Domestic Coal Based (DCB) Plants,21.5,21.1,5.3,5.8
3,Rajasthan,Domestic Coal Based (DCB) Plants,33.4,33.6,9.3,9.4
4,Uttar Pradesh,Domestic Coal Based (DCB) Plants,102.3,99.7,27.3,28.1
5,Chhattisgarh,Domestic Coal Based (DCB) Plants,117.5,116.2,31,32
6,Gujarat,Domestic Coal Based (DCB) Plants,16.4,15.8,4.7,4.8
7,Madhya Pradesh,Domestic Coal Based (DCB) Plants,93,93.4,24.4,24.6
8,Maharashtra,Domestic Coal Based (DCB) Plants,92.3,90.8,24.4,24
9,Andhra Pradesh,Domestic Coal Based (DCB) Plants,49.8,49.1,13.1,13.4
10,Karnataka,Domestic Coal Based (DCB) Plants,26.4,25.4,7,6.8
11,Tamil Nadu,Domestic Coal Based (DCB) Plants,32.2,31.7,7.9,7.9
12,Telangana,Domestic Coal Based (DCB) Plants,37,36.9,9.9,9.9
13,Bihar,Domestic Coal Based (DCB) Plants,42.4,40.9,11.9,11.7
14,Jharkhand,Domestic Coal Based (DCB) Plants,23.9,23.2,7,7
15,Odisha,Domestic Coal Based (DCB) Plants,49.1,48.2,11.9,11.9
16,West Bengal,Domestic Coal Based (DCB) Plants,61.3,59.3,15.2,15.5
17,Assam,Domestic Coal Based (DCB) Plants,3.4,3.1,0.8,0.8
Domestic Coal Based (DCB) Plants Total,Domestic Coal Based (DCB) Plants Total,Domestic Coal Based (DCB) Plants Total,822.5,807.8,216,219
18,Gujarat,Imported Coal Based (ICB) Plants,23.2,23.3,7.8,7.9
19,Rajasthan,Imported Coal Based (ICB) Plants,0,0,0.2,0.2
20,Maharashtra,Imported Coal Based (ICB) Plants,3.4,3.4,0.8,0.9
21,Andhra Pradesh,Imported Coal Based (ICB) Plants,1.6,1.6,0.6,0.6
22,Karnataka,Imported Coal Based (ICB) Plants,4.5,4.2,1.1,1.1
23,Tamil Nadu,Imported Coal Based (ICB) Plants,9,9.2,3.6,3.2
Imported Coal Based (ICB) Plants Total,Imported Coal Based (ICB) Plants Total,Imported Coal Based (ICB) Plants Total,41.7,41.8,14.2,13.9
Total,Total,,864.2,849.6,230.2,232.9
